Asal kota;Kota tujuan;Jarak;Durasi Perjalanan;Rute
Kota Mojokerto; Kota Blitar;101 km;2 hours 35 mins;Head west toward Jl. Gajah Mada | Turn left at the 1st cross street onto Jl. Gajah Mada | Continue onto Jl. Pahlawan | Continue onto Jl. Jayanegara | Sharp right to stay on Jl. Jayanegara | Slight left onto Jl. Wijaya Kusuma | Turn left onto Jl. Rajasanegara | Slight right onto Jl. Raya By Pass/Jl. Raya Surabaya - Madiun/Jl. Totok KerotContinue to follow Jl. Raya Surabaya - Madiun/Jl. Totok KerotPass by Majapahit Teracota (on the right in 10.8 km) | Turn left toward Jl. A.Yani Mojolegi (signs for Malang / Kediri/Wonosalam) | Continue onto Jl. A.Yani Mojolegi | Continue onto Jl. Sumber Boto | Turn right onto Jl. Selombong | Continue onto Jalan Dokter Soetomo | Turn right after Toko Emas Jaya Abadi (on the right) | Turn left onto Jl. Ngoro-Bareng | Turn left onto Jl. Supriadi | Jl. Supriadi turns left and becomes Jl. Arjuno/Jl. KandanganContinue to follow Jl. Kandangan | Continue onto Jl. Jombang | Turn right onto Jl. Raya Kandangan | Turn right onto Jl. Pare Baru/Jl. Pare KandanganContinue to follow Jl. Pare Kandangan | Turn left onto Jl. Diponegoro | Turn right after Istana Bunga Dan Genteng Gatot Kaca (on the right) | Turn left onto Jl. Supriadi | Continue onto Jl. Gatot Kaca/Jl. Pare-WatesContinue to follow Jl. Pare-Wates | At Kantor Polsek Plosoklaten, Jl. Pare-Wates turns left and becomes Jl. Raya WatesPass by SMP-SMK BHAKTI NUSA PLOSOKLATEN (on the right) | Continue onto Jl. Wates-Plosoklaten | Turn left to stay on Jl. Wates-Plosoklaten | Continue onto Jl. Pare Jambu | Continue onto Jl. Pare Jambu Tunge | At Toko Emas Mawar, Jl. Pare Jambu Tunge turns right and becomes Jl. Raya KediriPass by Toko Wisnu Collection (on the left) | At the roundabout, take the 1st exit onto Jl. Raya Tawang | Turn left onto Jl. Raya Kunjang | Turn right to stay on Jl. Raya Kunjang | Continue onto Jl. Ir. Soekarno | Continue onto Jl. Raya Patok, Desa Sidorejo | Turn right after INDOMARET Raya Sidorejo (on the right) | Turn left onto Jl. Cepaka/Jl. Jend. SudirmanContinue to follow Jl. Jend. Sudirman | Turn left at Jl. Argo Pegat | Turn left onto Jl. Karso Hutomo/Jl. Raya KawedusanContinue to follow Jl. Raya Kawedusan | Continue onto Jl. Karto Hutomo | Continue onto Jl. Raya Banaran | Continue onto Jl. Gatut Kaca | Turn right onto Jl. Anjasmoro | Turn right after Warung barokah (on the right) | Turn left onto Jl. Mahakam | Continue onto Jl. Kalibrantas | Turn right onto Jl. Batanghari | Turn left onto Jl. Musi | Turn right onto Jl. Barito Selatan | Continue straight
Kota Mojokerto; Kota Madiun;121 km;1 hour 36 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn left onto Jl. Mager Sari-Ngares Kidul | Turn <b>right</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>left</b> at the fork and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Ngawi – Kertosono</b>/<wbr/><b>Jl. Tol Salatiga - Kertosono</b>/<wbr/><b>Jl. Tol Solo - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Madiun</b>/<wbr/><b>Magetan</b>/<wbr/><b>Ponorogo</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Gerbang Tol Madiun</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya Tiron | Continue straight to stay on Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya TironContinue to follow Jl. Raya Madiun - Nganjuk | Slight left onto Jl. Basuki Rahmad | Continue straight to stay on Jl. Basuki Rahmad | Continue onto Jl. S. Parman | Turn right after Fortuna Brownies Madiun (on the right) | Turn left onto Jl. Rimba Darma | Turn left onto Jl. Setiaki | Continue onto Jl. Sombo | Continue onto Jl. Parikesit"
Kota Mojokerto; Kota Pasuruan;95.4 km;1 hour 26 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn right onto Jl. Raya Mlirip | Turn right at Jl. Raya Canggu | Turn right onto the Jl. Tol Jombang - Mojokerto ramp | Continue onto <b>Jl. Tol Jombang - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Krian</b>/<wbr/><b>Driyorejo</b>/<wbr/><b>Surabaya</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Turn left onto Jl. Urip Sumoharjo | Turn right after BB Selluler (on the right) | Turn left onto Jl. Panglima Sudirman | Turn left onto Gg. Cemp."
Kota Mojokerto; Kota Batu;60.7 km;1 hour 47 mins;Head west toward Jl. Gajah Mada | Turn left at the 1st cross street onto Jl. Gajah Mada | Continue onto Jl. Pahlawan | Continue onto Jl. Jayanegara | Continue onto Jl. Gempol - Mojokerto (signs for Mojosari/Malang) | Continue straight onto Jl. Gempol - Mojokerto/Jl. Raya GayamanContinue to follow Jl. Raya Gayaman | Continue onto Jl. Gempol - Mojokerto | Turn right onto Jl. Kh. Ahmad Dahlan/Jl. Raya PacingContinue to follow Jl. Raya Pacing | Continue onto Jl. Raya Sumber Wono | Continue onto Jl. Raya Bangsal-Dlanggu | Continue onto Jl. Letjend. Suprapto | Continue onto Jl. Raya Badung | Continue onto Jl. Raya Dlanggu | Continue onto Jl. Jendral Ahmad Yani | Continue onto Jl. Raya Dlanggu | Continue onto Jl. Jend. Sudirman/Jl. Raya GondangContinue to follow Jl. Raya GondangPass by Alfamart (on the right in 850m) | Continue onto Jl. Raya Gondang - Pacet/Jl. Raya PadiContinue to follow Jl. Raya Gondang - Pacet | Turn right onto Jl. Pacet/Pandanarum - Pace (signs for Pemandian/Air Panas/Trawas/Batu) | At Pacetoz Cafe, Jl. Pacet/Pandanarum - Pace turns left and becomes Jl. KartiniPass by Warung WAP (on the left) | Turn left onto Jl. Kartini/Jl. Pacet | Turn left toward Jl. Cangar - Pacet/Jl. Pacet | Make a U-turn | Turn right toward Jl. Cangar - Pacet/Jl. Pacet | Turn left onto Jl. Cangar - Pacet/Jl. Pacet | Turn left onto Jl. Raya Sumberbrantas | Continue onto Jl. Raya Cangar | Jl. Raya Cangar turns left and becomes Jl. Raya Sumber Brantas/Jl. Raya TulungrejoContinue to follow Jl. Raya TulungrejoPass by Indomaret Punten (on the right in 6.9 km) | Continue onto Jl. Martosujono/Jl. Raya PuntenContinue to follow Jl. Raya Punten | Continue onto Jl. Bukit Berbunga/Jl. Raya SidomulyoPass by Toko Listrik Nafiz (on the left) | Continue onto Jl. Brantas | Turn left onto Jl. Bromo | Turn right onto Jl. Semeru | At the roundabout, take the 1st exit onto Jl. Diponegoro | At Bakso Arief, continue onto Jl. Patimura | Turn right onto Jl. Dewi SartikaPass by Akasia Bank (on the left) | Keep left to stay on Jl. Dewi Sartika | Keep left to stay on Jl. Dewi Sartika | Turn leftDestination will be on the right
Kota Mojokerto; Kota Probolinggo;133 km;1 hour 55 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn right onto Jl. Raya Mlirip | Turn right at Jl. Raya Canggu | Turn right onto the Jl. Tol Jombang - Mojokerto ramp | Continue onto <b>Jl. Tol Jombang - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Krian</b>/<wbr/><b>Driyorejo</b>/<wbr/><b>Surabaya</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Jl. Raya Laweyan</b><div style=""font-size:0.9em"">Toll road</div> | Turn left onto Jl. Raya Laweyan | Turn right onto Jl. Prof. Dr. Hamka | Turn left onto Jl. KH. Fadhol | Turn right onto Jl. Bengawan Solo | Turn left onto Jl. Bogo Wonto | Turn left"
Kota Mojokerto; Kota Kediri;80.1 km;1 hour 37 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn left onto Jl. Mager Sari-Ngares Kidul | Turn <b>right</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>left</b> at the fork and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Kertosono</b>/<wbr/><b>Kediri</b><div style=""font-size:0.9em"">Toll road</div> | Take the ramp to <b>Jl. Panglima Sudirman</b>/<wbr/><b>Jl. Raya Kayen</b>/<wbr/><b>Jl. Raya Surabaya - Madiun</b><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya - Madiun | Slight left onto Jl. Kertosono-Kediri/Jl. Purwosari-KediriContinue to follow Jl. Kertosono-KediriPass by Toko Sugih Waras (on the left in 16.3 km) | Jl. Kertosono-Kediri turns left and becomes Jl. Diponegoro | Turn right onto Jl. Basuki Rahmat/SouthContinue to follow SouthPass by Xiaomi Shop Kediri (on the right in 750m) | At Optik Saudara - Kediri, continue onto Jl. Panglima SudirmanPass by Wm Padang Salero (on the left in 400m) | Continue onto Jl. Urip SumoharjoPass by TOKO MEKAH MADINAH (on the left) | Turn left after Masjid Nurul Huda (on the left) | Turn right onto Jl. Sumber | Turn right onto Jl. Sunan Ampel III"
Kota Mojokerto; Kabupaten Pacitan;219 km;4 hours 4 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn left onto Jl. Mager Sari-Ngares Kidul | Turn <b>right</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>left</b> at the fork and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Ngawi – Kertosono</b>/<wbr/><b>Jl. Tol Salatiga - Kertosono</b>/<wbr/><b>Jl. Tol Solo - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Madiun</b>/<wbr/><b>Magetan</b>/<wbr/><b>Ponorogo</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Gerbang Tol Madiun</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya Tiron | Continue straight to stay on Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya TironContinue to follow Jl. Raya Madiun - Nganjuk | Slight left onto Jl. Basuki Rahmad | Continue straight to stay on Jl. Basuki Rahmad | Continue onto Jl. S. Parman | At Fortuna Brownies Madiun, continue onto Jl. Thamrin | Continue onto Jl. MT Haryono | Continue onto Jl. Mayor Jend. Di Panjaitan | Slight left onto Jl. Raya Geger - Madiun/Jl. Raya Ponorogo - Madiun/Jl. Soekarno - Hatta | Continue straight onto Jl. Raya Geger - Madiun/Jl. Raya Ponorogo/Jl. Raya Ponorogo - Madiun/Jl. Soekarno - HattaPass by FOTO MATAHARI (on the right in 11.2 km) | At the roundabout, continue straight onto Jl. HOS Cokroaminoto/Jl. Soekarno HattaPass by Wadimor (on the left) | At the roundabout, take the 2nd exit onto Jl. Jenderal SudirmanPass by Pustaka Ilmu (on the left in 1 km) | At the roundabout, take the 1st exit onto Jl. Gatot Subroto/Jl. Laksamana Yos Sudarso/Jl. Raya Trenggalek - PonorogoContinue to follow Jl. Laksamana Yos Sudarso | Continue onto Jemb. Dawang/Jl. Soekarno - HattaContinue to follow Jl. Soekarno - Hatta | Turn right onto Jl. Nasional III | Turn right onto Jl. Patrem | Turn left | Turn left | Turn leftDestination will be on the right"
Kota Mojokerto; Kabupaten Magetan;142 km;2 hours 3 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn left onto Jl. Mager Sari-Ngares Kidul | Turn <b>right</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>left</b> at the fork and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Ngawi – Kertosono</b>/<wbr/><b>Jl. Tol Salatiga - Kertosono</b>/<wbr/><b>Jl. Tol Solo - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Madiun</b>/<wbr/><b>Magetan</b>/<wbr/><b>Ponorogo</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Gerbang Tol Madiun</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya Tiron | Continue straight to stay on Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun/Jl. Raya TironContinue to follow Jl. Babat - Caruban/Jl. Raya Madiun - Nganjuk/Jl. Raya Tiron | Turn right onto Jl. Babat - Caruban/Jl. Ring Road Barat | Turn right onto Jl. Jenderal Urip Sumoharjo | Continue onto Jl. Raya SoloPass by Prima Sosis (on the right in 500m) | Slight left onto Jl. Maospati/Jl. Raya Magetan/Jl. Raya Maospati/Jl. Raya Maospati - MagetanContinue to follow Jl. Maospati/Jl. Raya Maospati | Turn left onto Jl. Tirta | Turn left onto Jl. Baron Raya | Turn leftDestination will be on the right"
Kota Mojokerto; Kabupaten Situbondo;263 km;4 hours 57 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn right onto Jl. Raya Mlirip | Turn right at Jl. Raya Canggu | Turn right onto the Jl. Tol Jombang - Mojokerto ramp | Continue onto <b>Jl. Tol Jombang - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Krian</b>/<wbr/><b>Driyorejo</b>/<wbr/><b>Surabaya</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Raya Pajurangan/Jl. Raya Panglima Sudirman/Jl. Raya PanturaContinue to follow Jl. Raya Pantura | Continue straight onto Jl. Basuki Rahmat/Jl. Raya Banyuwangi Situbondo/Jl. Raya Pantura | Continue straight to stay on Jl. Basuki Rahmat/Jl. Raya Banyuwangi Situbondo/Jl. Raya PanturaContinue to follow Jl. Raya Banyuwangi Situbondo/Jl. Raya Pantura | Turn right | Turn left | Turn right | Turn left | Turn leftDestination will be on the right"
Kota Mojokerto; Kabupaten Trenggalek;148 km;3 hours 27 mins;"Head west toward Jl. Gajah Mada | Turn right at the 1st cross street onto Jl. Gajah MadaPass by Dealer Honda Eka Prima Motor Magersari Mojokerto (on the left) | Keep right to stay on Jl. Gajah Mada | Turn left onto Jl. Mager Sari-Ngares Kidul | Turn <b>right</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>left</b> at the fork and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Kertosono</b>/<wbr/><b>Kediri</b><div style=""font-size:0.9em"">Toll road</div> | Take the ramp to <b>Jl. Panglima Sudirman</b>/<wbr/><b>Jl. Raya Kayen</b>/<wbr/><b>Jl. Raya Surabaya - Madiun</b><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya - Madiun | Slight left onto Jl. Kertosono-Kediri/Jl. Purwosari-KediriContinue to follow Jl. Kertosono-KediriPass by Toko Sugih Waras (on the left in 16.3 km) | Turn right onto Jl. Sultan Iskandar Muda | Turn left onto Jl. Ahmad Dahlan/Jl. Raya Kediri - Nganjuk/Jl. Raya Prambon - KediriPass by R & R Parfum (on the right in 900m) | Turn right after Pewangi Laundry (on the right) | Continue onto Jl. PenanggunganPass by CM Sport (on the right in 1.9 km) | At Sweet Laundry, continue onto Jl. Raung | Continue onto Jl. Raya Sidomulyo | Continue onto Jl. Raya Mojo/Jl. Raya Mondo/Jl. Raya PetokContinue to follow Jl. Raya Mojo | Continue onto Jl. Jeli/Jl. Raya NgadiContinue to follow Jl. Jeli | Continue onto Jl. Raya Karangrejo/Jl. Raya KucenContinue to follow Jl. Raya Kucen | Turn right onto Jl. Raya Karangrejo/Jl. Raya Kucen/Jl. Raya SembonContinue to follow Jl. Raya Karangrejo/Jl. Raya Sembon | Continue onto Jl. Raya Bungur | Continue onto Jl. Raya Jatimulyo/Jl. Tamanan Sukowiyono KarangrejoContinue to follow Jl. Tamanan Sukowiyono KarangrejoPass by Salon EKASARI (on the left in 1.1 km) | Continue onto Jl. KH Hasyim Asyari | Turn right onto Jl. Nasional IIIPass by Pos Polisi Durenan (on the left in 11.9 km) | Turn left onto Jl. Gandusari-Durenan/Jl. Gandusari - Kampak | Turn right onto Jl. Gandusari - Kampak | Continue onto Jl. Raya Karanganyar | Continue onto Jl. Gandusari-Durenan | Turn left to stay on Jl. Gandusari-Durenan | Turn right onto Jl. Gandusari-Durenan/Jl. Gandusari - Kampak | Turn left onto Jl. Gandusari-Durenan/Jl. Gandusari - Kampak/Jl. Raya Gandusari - DurenanContinue to follow Jl. Gandusari - Kampak | Turn left onto Jl. Gandusari - Kampak/Jl. Raya GandusariContinue to follow Jl. Raya Gandusari | Turn right onto Jl. Raya Gandusari/Jl. Raya Kampak | Turn right onto Jl. Raya Kampak | Turn right onto Jl. Raya Dongko - Kampak | Slight left | Turn rightDestination will be on the left"
